taxonID	locationID	locality	occurrenceStatus	establishmentMeans	startDayOfYear	endDayOfYear	source	occurrenceRemarks
134989	MRGID:4812	Scheldt Estuary	present				Azémar, F.; Fiers, F.; Tackx, M. (2002). Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	new occurrence
134989		Ukrainian Exclusive Economic Zone	present				Species composition of meso- and macrozooplankton of the Black Sea	
134989		Portuguese Exclusive Economic Zone	present				Ramos, M. (2010). IBERFAUNA. The Iberian Fauna Databank. 	
134989		Spanish Exclusive Economic Zone	present				Ramos, M. (2010). IBERFAUNA. The Iberian Fauna Databank. 	
134990	MRGID:7130	European Marine Waters	present				O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	
134990	MRGID:4812	Scheldt Estuary	present				Azémar, F.; Fiers, F.; Tackx, M. (2002). Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	
134990	MRGID:90	Nieuwpoort	present				De Ridder, M. (1963). Recherches sur les Rotifières des eaux saumâtres: 10. Les Rotifières planktoniques de Nieuport et environs [Research on Rotifera of brackish waters: 10. The planktonic Rotifera of Nieuwpoort and surroundings]. <i>Med. K. Belg. Inst. Nat. Wet. 39(4)</i>: 1-39	
134990	MRGID:90	Nieuwpoort	present				De Pauw, N. (1975). Kwalitatieve en kwantitatieve analyse van het micro- en nannoplankton in de Belgische kustwateren ter hoogte van Nieuwpoort. [Qualitative and quantitative analysis of the micro- and nannoplankton in Belgian coastwaters near Nieuwpoort.] Pp 75-203 in Lievens, F. (Ed.): Ekologische en biologische studie van de kustwateren ter hoogte van Nieuwpoort in verband met het lozen van afvalwateren.C.L.O., Gent: Gent, Belgium	
134990	MRGID:5662	Lombardsijde	present				De Pauw, N. (1975). Kwalitatieve en kwantitatieve analyse van het micro- en nannoplankton in de Belgische kustwateren ter hoogte van Nieuwpoort. [Qualitative and quantitative analysis of the micro- and nannoplankton in Belgian coastwaters near Nieuwpoort.] Pp 75-203 in Lievens, F. (Ed.): Ekologische en biologische studie van de kustwateren ter hoogte van Nieuwpoort in verband met het lozen van afvalwateren.C.L.O., Gent: Gent, Belgium	
134990	MRGID:25	Oostende	present				De Ridder, M. (1963). Recherches sur les Rotifières des eaux saumâtres: 10. Les Rotifières planktoniques de Nieuport et environs [Research on Rotifera of brackish waters: 10. The planktonic Rotifera of Nieuwpoort and surroundings]. <i>Med. K. Belg. Inst. Nat. Wet. 39(4)</i>: 1-39	
134990		Romanian Exclusive economic Zone	present				Species composition of meso- and macrozooplankton of the Black Sea	
134990		Ukrainian Exclusive Economic Zone	present				Species composition of meso- and macrozooplankton of the Black Sea	
134990	MRGID:14	Belgium	present				Segers, H. (1998). Notes on the taxonomy and distribution of the interstitial Rotifera from a dune pool. Belg. J. of Zool. 128(1): 35-47	Habitat= dunes (pool)
134990	MRGID:25	Oostende	present		1965	1965	De Pauw, N., 1969. Contribution à l'étude du plancton dans le port d'Ostende. Biol. Jb. 37 : 186-262.	Ostend harbour
134990		Portuguese Exclusive Economic Zone	present				Ramos, M. (2010). IBERFAUNA. The Iberian Fauna Databank. 	
